legalWeedStatus,State,MV_Deaths,Total_Deaths,Total_OD_Deaths,OverdosePercent,MVPercent
Fully Illegal,Alabama,2919,1840021.0,26693.0,0.01450689964951487,0.0015863949378838612
Fully Illegal,Idaho,726,475742.0,8000.0,0.016815837155432986,0.0015260372218555435
Fully Illegal,Kansas,1231,925159.0,11471.0,0.012398949802142118,0.0013305820945372633
Fully Illegal,Kentucky,2349,1685606.0,49178.0,0.02917526397034657,0.0013935640950494955
Fully Illegal,Mississippi,2104,1110201.0,11751.0,0.010584569821140496,0.0018951523192647097
Fully Illegal,Nebraska,696,601977.0,4484.0,0.0074487895716946,0.0011561903527875649
Fully Illegal,North Carolina,4296,3267508.0,64581.0,0.019764603483755815,0.001314763422155355
Fully Illegal,South Carolina,2978,1681579.0,29939.0,0.01780409959924571,0.0017709545611594817
Fully Illegal,South Dakota,400,286010.0,2427.0,0.008485717282612496,0.0013985524981643999
Fully Illegal,Tennessee,3187,2556665.0,55760.0,0.021809662196650714,0.0012465457930546239
Fully Illegal,Wisconsin,1798,1853379.0,35881.0,0.019359774768139704,0.0009701199808565868
Fully Illegal,Wyoming,367,158716.0,3238.0,0.020401219788805162,0.0023123062577181885
Fully Legal,Alaska,225,152824.0,4637.0,0.030342092864995028,0.0014722818405486049
Fully Legal,California,10779,9398586.0,171561.0,0.018253916067799986,0.0011468746468883723
Fully Legal,Colorado,1824,1354040.0,34274.0,0.025312398452039822,0.0013470798499305781
Fully Legal,District of Columbia,107,212628.0,8402.0,0.03951502153996651,0.0005032262919276859
Fully Legal,Maine,494,509322.0,11230.0,0.022048919936700162,0.0009699168698779946
Fully Legal,Massachusetts,1070,2099061.0,67259.0,0.032042422778566226,0.000509751741373881
Fully Legal,Michigan,2901,3410245.0,78837.0,0.023117693890028428,0.0008506720191657785
Fully Legal,Nevada,986,872050.0,24547.0,0.0281486153316897,0.0011306691130095752
Fully Legal,Oregon,1404,1290898.0,18330.0,0.014199417769645627,0.0010876149781005161
Fully Legal,Vermont,196,207080.0,4090.0,0.019750820938767625,0.0009464941085570794
Fully Legal,Washington,1690,1976262.0,39696.0,0.020086405547442596,0.0008551497726516019
Mixed,Arizona,2821,2007843.0,48545.0,0.024177687199646587,0.0014049903304192608
Mixed,Arkansas,1608,1112767.0,13904.0,0.01249497873319392,0.0014450464472796191
Mixed,Connecticut,831,1104022.0,31821.0,0.02882279519792178,0.0007527023918001634
Mixed,Delaware,374,316137.0,8981.0,0.028408569702375867,0.0011830314072696331
Mixed,Florida,9274,7112473.0,150716.0,0.021190379211281366,0.0013039065315256734
Mixed,Georgia,4539,2920147.0,48760.0,0.016697789529088774,0.0015543738037845354
Mixed,Hawaii,327,400787.0,6490.0,0.016193139997055794,0.0008158947271243828
Mixed,Illinois,3151,3762243.0,78469.0,0.02085697282179806,0.000837532291242219
Mixed,Indiana,2537,2302679.0,51681.0,0.02244385778478025,0.0011017601671791857
Mixed,Iowa,1056,1061782.0,11179.0,0.010528526571367757,0.000994554437728272
Mixed,Louisiana,2281,1596618.0,33537.0,0.021005024370262644,0.0014286447979416491
Mixed,Maryland,1587,1728952.0,61406.0,0.03551631277213017,0.0009178970844766078
Mixed,Minnesota,1181,1550025.0,22625.0,0.014596538765503783,0.0007619231947871808
Mixed,Missouri,2777,2242695.0,44415.0,0.019804297954024063,0.0012382423824907087
Mixed,Montana,604,357782.0,4469.0,0.012490846381315996,0.0016881788351566038
Mixed,New Hampshire,342,425407.0,15676.0,0.03684941714640333,0.000803935995411453
Mixed,New Jersey,1787,2588031.0,64490.0,0.02491855777616265,0.0006904863195224478
Mixed,New Mexico,1094,629482.0,18208.0,0.028925370383902953,0.0017379369068535717
Mixed,New York,3139,3544757.0,73702.0,0.02079183424985126,0.000885533197339056
Mixed,North Dakota,373,247851.0,2577.0,0.010397375842744229,0.0015049364335830802
Mixed,Ohio,3517,4300757.0,143190.0,0.0332941386830272,0.0008177630124185114
Mixed,Oklahoma,2006,1379548.0,27724.0,0.020096437383838765,0.0014540994586632722
Mixed,Pennsylvania,3560,4832622.0,146740.0,0.030364468812168633,0.0007366601401889078
Mixed,Rhode Island,210,368263.0,11481.0,0.03117608882782142,0.0005702446349483928
Mixed,Texas,11174,6968433.0,97613.0,0.014007883838446894,0.0016035168882301085
Mixed,Utah,834,653758.0,23251.0,0.03556514795994848,0.001275701406330783
Mixed,Virginia,2380,2352167.0,43216.0,0.018372845125367375,0.0010118329183259522
Mixed,West Virginia,882,795835.0,29683.0,0.03729793236035108,0.0011082699303247533
